user_id,text_original,likes_count,user_sex,user_age,text_lemmatized
10767514,"[id3274205|Nik], там капча наверное есть",0,m,None,nik капч наверное
561724443,"[id220775978|Булат], можно ссылку плиз на какой-нибудь стрим, у меня эта карта не открывается :(",0,m,22,булат ссылка плиз стрим этот карта открываться
142111086,"[id220775978|Булат], 777 удачи снимаю порчу",0,m,None,булат удача снимать порча
196202102,"Зачем публиковать это, чёрный пиар — лучший пиар, даже для такого подсоса у власти за 90млн рублей",43,f,None,зачем публиковать это чёрный пиар хороший пиар такой подсос власть рубль
590821700,Соловьиный помёт в очередной раз обосрался,439,m,20,соловьиный помёт очередной обосраться
33220952,Ну он в этом к сожалению не новичок,77,m,None,ну сожаление новичок
1074471,этой игрой была Worms Armageddon,20,m,None,игра worms armageddon
171596057,Опять забыл таблетки принять. Пять,5,m,None,опять забыть таблетка принять пять
601932328,лентач пиарит соловьёва стоит задуматся,2,f,20,лентач пиарит соловьёв стоить задумиться
392606018,Не зря он носит славное имя Помётыча,1,m,None,не зря носить славный имя помётыкать
21076757,Как всегда обосрался пропагандон) раз два,33,m,27,как обосраться пропагандон
256116,"он потом смешно отмазы лепил, типа сами там окажитесь и случайно не такие ещё видео скинете.",2,m,None,смешно отмаз лепить тип сам оказаться случайно такой ещё видео скинуть
82518248,"Хахах, а что, разве это кого-то удивило?) спасибо, что хотя бы не warhammer 40k",118,m,27,хахи это удивить спасибо хотя warhammer
66775439,"Впрочем, ничего нового четыре пять",5,m,None,впрочем новый четыре пять
208351271,"Играю в арму со школы, уже какой раз ее за реал принимают в СМИ...",28,m,None,играть арма школа реал принимать сми
540479240,Прям как Путин американскому режиссеру выдал компьютерную игру за работу российских ВКС в Сирии 😊,11,m,29,прям путин американский режиссёр выдать компьютерный игра работа российский вкс сирия
58427373,"Шутки, шутками, а ведь скушают и еще попросят.",0,m,None,шутка шутка скушать попросить
559912398,"В какой-то степени даже хорошо, что у Кремля тотальная коррупция, кумовство и раздолбайство. Хорошо, что оружие пропаганды в руках подобных бездарей, а не опытных знатоков.",41,f,None,в степень кремль тотальный коррупция кумовство раздолбайство хорошо оружие пропаганда рука подобный бездарь опытный знаток
